"model","layers","neurons","reps","threshold","algo","error.function","activation.function","avg..training.duration...sec","nof.nets","nof.errors","nof.steps","rel_harmonic_error","arith_error","rel_arith_error","rel_rms","median_rel_error","first_quartile_rel_error","third_quartile_rel_error","max_rel_error","arith_mean_rel_error_on_training_data","weigthed_arith_mean_test_rel_error","mean_in_range","q0.1_rel_arith_mean","q0.1_rel_rms","q0.9_rel_arith_mean","q0.9_rel_rms","outlier_correct_percent","net_count","nof_bagged_nets"
"tuple1_with_error_class_from_linreg",14,7,1,0.7,"rprop+","sse","logistic",530.794,12,0,250,0.119952526534471,0.00138416929674324,43.9897917347084,107.73724592865,16.0696665025587,7.1908111062986,44.0871680653793,3524.62144980641,44.5723534391078,-1,-1,-1,-1,-1,-1,-1,1,1
"tuple1",11,21,1,0.5,"rprop+","sse","logistic",4658.688,12,0,1316,0.84171489499972,0.00252004085146254,93.3197937434992,1096.37586744122,17.0337435499663,6.63326963505436,45.8042734428047,69532.6063241215,100.339574603757,-1,0.229505555555556,85.5319832407851,1128.08359026864,104.951252877447,1168.11976686071,0.308191666666667,1,1
