DeltaTime,fd,OpTyp,DeltaOffset,Size,Duration
0.000587305,0,R,0,1048576,8.9504e-05
9.3802e-05,1,W,0,1048576,0.000574746
0.00058159,0,R,0,1048576,8.0121e-05
8.3532e-05,1,W,0,1048576,0.000603442
0.000611833,0,R,0,1048576,8.4426e-05
8.8956e-05,1,W,0,1048576,0.000584814
0.000591505,0,R,0,1048576,8.0042e-05
8.3305e-05,1,W,0,1048576,0.00058441
0.000589858,0,R,0,1048576,8.0718e-05
8.4155e-05,1,W,0,1048576,0.000612136
0.00061988,0,R,0,1048576,8.0795e-05
8.4138e-05,1,W,0,1048576,0.000607397
0.000615843,0,R,0,1048576,8.6148e-05
9.0624e-05,1,W,0,1048576,0.000600585
0.000606234,0,R,0,1048576,8.0253e-05
8.3859e-05,1,W,0,1048576,0.000661797
0.00067173,0,R,0,1048576,8.7077e-05
9.111e-05,1,W,0,1048576,0.000672243
0.000678388,0,R,0,1048576,8.7071e-05
9.0724e-05,1,W,0,1048576,0.000707718
0.000720157,0,R,0,1048576,8.764e-05
9.1905e-05,1,W,0,1048576,0.000637784
0.000643881,0,R,0,1048576,8.7235e-05
9.1135e-05,1,W,0,1048576,0.000624493
0.000633457,0,R,0,1048576,8.7479e-05
9.1363e-05,1,W,0,1048576,0.000650821
0.00067305,0,R,0,1048576,8.6941e-05
9.0979e-05,1,W,0,1048576,0.000629875
0.00063602,0,R,0,1048576,8.71e-05
9.067e-05,1,W,0,1048576,0.000602763
0.000608413,0,R,0,1048576,8.9438e-05
9.8207e-05,1,W,0,1048576,0.000746958
0.00075943,0,R,0,1048576,8.7833e-05
9.1892e-05,1,W,0,1048576,0.000621231
0.000627219,0,R,0,1048576,8.6873e-05
9.0306e-05,1,W,0,1048576,0.000631084
0.000637796,0,R,0,1048576,8.7366e-05
9.0975e-05,1,W,0,1048576,0.000622614
0.00062937,0,R,0,1048576,8.6978e-05
9.0456e-05,1,W,0,1048576,0.000620666
0.000629257,0,R,0,1048576,8.0959e-05
8.4545e-05,1,W,0,1048576,0.000589614
0.000595755,0,R,0,1048576,8.0201e-05
8.3387e-05,1,W,0,1048576,0.000634416
0.000644768,0,R,0,1048576,8.8644e-05
9.2396e-05,1,W,0,1048576,0.000594219
0.000601813,0,R,0,1048576,8.0318e-05
8.3778e-05,1,W,0,1048576,0.000638067
0.000648042,0,R,0,1048576,8.6382e-05
9.2776e-05,1,W,0,1048576,0.000586109
0.000591833,0,R,0,1048576,8.0271e-05
8.3662e-05,1,W,0,1048576,0.000580095
0.000585311,0,R,0,1048576,8.0454e-05
8.3763e-05,1,W,0,1048576,0.000576076
0.000581387,0,R,0,1048576,8.0727e-05
8.4077e-05,1,W,0,1048576,0.000568099
0.000573447,0,R,0,1048576,8.0224e-05
8.3523e-05,1,W,0,1048576,0.000567333
0.000572798,0,R,0,1048576,8.0192e-05
9.7107e-05,1,W,0,1048576,0.000641997
0.000651317,0,R,0,1048576,8.7372e-05
9.2335e-05,1,W,0,1048576,0.000765404
0.000777123,0,R,0,1048576,0.000103322
0.000111301,1,W,0,1048576,0.000795772
0.000804721,0,R,0,1048576,8.7145e-05
9.0792e-05,1,W,0,1048576,0.00063319
0.000640408,0,R,0,1048576,8.7916e-05
9.165e-05,1,W,0,1048576,0.000657587
0.000669115,0,R,0,1048576,8.8349e-05
9.3007e-05,1,W,0,1048576,0.000650253
0.000660186,0,R,0,1048576,8.8064e-05
9.2184e-05,1,W,0,1048576,0.000632964
0.000642049,0,R,0,1048576,8.7538e-05
9.1624e-05,1,W,0,1048576,0.000605438
0.00061336,0,R,0,1048576,8.7388e-05
9.1509e-05,1,W,0,1048576,0.000856669
0.000877237,0,R,0,1048576,0.00010841
0.000116921,1,W,0,1048576,0.000616175
0.000625297,0,R,0,1048576,8.6958e-05
9.0598e-05,1,W,0,1048576,0.000624541
0.000631971,0,R,0,1048576,8.7091e-05
9.097e-05,1,W,0,1048576,0.000600855
0.000606401,0,R,0,1048576,8.6747e-05
9.0381e-05,1,W,0,1048576,0.00063446
0.000640566,0,R,0,1048576,8.7277e-05
9.0702e-05,1,W,0,1048576,0.000673802
0.000685824,0,R,0,1048576,9.9165e-05
0.000107142,1,W,0,1048576,0.000663298
0.000671329,0,R,0,1048576,8.9268e-05
9.3364e-05,1,W,0,1048576,0.000703186
0.000713899,0,R,0,1048576,8.7289e-05
9.0853e-05,1,W,0,1048576,0.000597158
0.000613164,0,R,0,1048576,8.6815e-05
9.085e-05,1,W,0,1048576,0.000605351
0.000611617,0,R,0,1048576,8.7316e-05
9.1142e-05,1,W,0,1048576,0.000621982
0.000627766,0,R,0,1048576,8.6876e-05
9.0344e-05,1,W,0,1048576,0.00061541
0.000621216,0,R,0,1048576,8.7163e-05
9.0969e-05,1,W,0,1048576,0.000622921
0.000631188,0,R,0,1048576,8.0435e-05
8.4149e-05,1,W,0,1048576,0.000608883
0.000616487,0,R,0,1048576,8.0375e-05
8.3808e-05,1,W,0,1048576,0.000604831
0.000611569,0,R,0,1048576,9.1949e-05
9.6685e-05,1,W,0,1048576,0.000614976
0.000622615,0,R,0,1048576,8.7529e-05
9.2375e-05,1,W,0,1048576,0.000586366
0.000591767,0,R,0,1048576,8.029e-05
8.3858e-05,1,W,0,1048576,0.000582482
0.000587853,0,R,0,1048576,8.0074e-05
8.3258e-05,1,W,0,1048576,0.000580791
0.000586415,0,R,0,1048576,8.0126e-05
0.000124233,1,W,0,1048576,0.000593252
0.000598203,0,R,0,1048576,9.3298e-05
9.9708e-05,1,W,0,1048576,0.000581172
0.000586872,0,R,0,1048576,8.0078e-05
8.3297e-05,1,W,0,1048576,0.00059649
0.000601824,0,R,0,1048576,8.0335e-05
8.3604e-05,1,W,0,1048576,0.000585092
0.000590634,0,R,0,1048576,8.0208e-05
8.3566e-05,1,W,0,1048576,0.000636934
0.000651371,0,R,0,1048576,0.000100258
0.000108333,1,W,0,1048576,0.000686614
0.000695049,0,R,0,1048576,8.0482e-05
9.7742e-05,1,W,0,1048576,0.000604784
0.000610758,0,R,0,1048576,8.6407e-05
9.1172e-05,1,W,0,1048576,0.000585865
0.000592666,0,R,0,1048576,8.0244e-05
8.3676e-05,1,W,0,1048576,0.000575023
0.000581608,0,R,0,1048576,8.772e-05
9.2145e-05,1,W,0,1048576,0.000588703
0.000595636,0,R,0,1048576,8.0297e-05
8.389e-05,1,W,0,1048576,0.000599713
0.00060675,0,R,0,1048576,8.7133e-05
9.1936e-05,1,W,0,1048576,0.00067372
0.000683619,0,R,0,1048576,8.7041e-05
9.111e-05,1,W,0,1048576,0.000607521
0.000617353,0,R,0,1048576,8.0951e-05
8.4588e-05,1,W,0,1048576,0.000557832
0.000563725,0,R,0,1048576,8.0109e-05
8.3438e-05,1,W,0,1048576,0.000587144
0.000595261,0,R,0,1048576,8.0404e-05
8.3687e-05,1,W,0,1048576,0.00062306
