Modell,MAF,RMAF,RMQA,Q3,Max,RMAFTraining,Bereich,RMAFavg
NN-Tupel1,0.00313,103, 530, 70, 21786,104,38,    106
NN-EMA,0.00305, 86, 619, 62, 45320, 87,37,    421
LinReg G,0.00476, 5578.4,14185,1158.1,  46941,NA,NA,NA
Durchschnitt,0.00692,10243.5,26035,2204.5,  86139,NA,NA,NA
