Attribut,Min,Quartil1,Median,Mittel,Quartil3,Max,Korrelation
Dauer, 1.1e-05, 3.7e-04, 4.6e-04, 3.2e-03,2.2e-03,1.4e+00, 1.00000
Größe, 1.0e+00, 7.2e+03, 4.1e+04, 1.3e+06,1.3e+06,8.4e+06, 0.14976
Delta-Abstand,-1.1e+10,-3.2e+09,-9.8e+06,-1.2e+06,3.1e+09,1.1e+10,-0.00033
