Attribut,Min,Quartil1,Median,Mittel,Quartil3,Max,Korrelation
Dauer, 6.6e-06, 2.6e-05, 9.8e-04, 5.6e-03,1.0e-02,2.9e-01,1.000
Größe, 1.0e+00, 6.4e+01, 1.2e+04, 8.6e+05,6.6e+05,8.4e+06,0.299
Delta-Abstand,-1.1e+10,-3.2e+09,-9.8e+06,-7.8e+05,3.1e+09,1.1e+10,0.045
